"","SubjIdx","BlockIndex","BlockTrial","TrialIndex","Condition","Cue","Correct","Rt","Error","AbsError","UncertaintyImage"
"97","0","3","1","97","congruent","green",1,1076,28,28,2
"98","0","3","2","98","congruent","green",1,357,-54,54,6
"99","0","3","3","99","incongruent","red",1,610,-2,2,2
"100","0","3","4","100","incongruent","red",1,457,-5,5,4
"101","0","3","5","101","congruent","green",0,501,-5,5,11
"102","0","3","6","102","congruent","blue",1,472,-18,18,6
"103","0","3","7","103","incongruent","red",1,591,-15,15,9
"104","0","3","8","104","incongruent","green",1,660,20,20,6
"105","0","3","9","105","congruent","green",1,1011,39,39,8
"106","0","3","10","106","congruent","red",1,525,-49,49,9
"107","0","3","11","107","congruent","blue",1,658,33,33,9
"108","0","3","12","108","incongruent","red",1,594,-3,3,6
"109","0","3","13","109","incongruent","green",1,1091,0,0,4
"110","0","3","14","110","congruent","blue",1,406,-117,117,129
"111","0","3","15","111","incongruent","red",1,594,-33,33,9
"112","0","3","16","112","congruent","red",1,553,9,9,8
"113","0","3","17","113","congruent","blue",1,572,-29,29,NA
"114","0","3","18","114","incongruent","green",1,532,-3,3,15
"115","0","3","19","115","congruent","green",1,555,22,22,11
"116","0","3","20","116","incongruent","red",1,489,-14,14,9
"117","0","3","21","117","incongruent","blue",1,632,2,2,8
"118","0","3","22","118","congruent","red",1,437,-4,4,9
"119","0","3","23","119","congruent","blue",1,486,-17,17,9
"120","0","3","24","120","incongruent","blue",1,532,-15,15,13
"121","0","3","25","121","incongruent","green",1,547,-38,38,13
"122","0","3","26","122","incongruent","green",1,843,19,19,13
"123","0","3","27","123","congruent","red",1,518,29,29,9
"124","0","3","28","124","congruent","green",1,621,-7,7,9
"125","0","3","29","125","incongruent","green",0,559,27,27,11
"126","0","3","30","126","incongruent","blue",1,517,3,3,11
"127","0","3","31","127","congruent","red",1,573,-20,20,20
"128","0","3","32","128","incongruent","red",1,491,24,24,9
"129","0","3","33","129","congruent","blue",1,711,16,16,11
"130","0","3","34","130","incongruent","red",1,506,-4,4,15
"131","0","3","35","131","incongruent","blue",1,581,-58,58,11
"132","0","3","36","132","congruent","blue",1,843,15,15,13
"133","0","3","37","133","congruent","red",1,397,-8,8,11
"134","0","3","38","134","incongruent","green",1,678,5,5,11
"135","0","3","39","135","incongruent","blue",1,738,-8,8,9
"136","0","3","40","136","incongruent","blue",1,693,-6,6,15
"137","0","3","41","137","congruent","green",1,564,9,9,6
"138","0","3","42","138","incongruent","blue",1,581,3,3,9
"139","0","3","43","139","congruent","blue",1,474,3,3,9
"140","0","3","44","140","congruent","green",1,607,-44,44,9
"141","0","3","45","141","congruent","red",1,569,51,51,9
"142","0","3","46","142","incongruent","blue",1,654,1,1,9
"143","0","3","47","143","incongruent","green",1,644,-14,14,9
"144","0","3","48","144","congruent","red",1,534,30,30,11
"145","0","4","1","145","incongruent","red",1,681,-18,18,4
"146","0","4","2","146","congruent","red",1,546,14,14,NA
"147","0","4","3","147","incongruent","blue",1,729,-14,14,9
"148","0","4","4","148","congruent","red",1,515,-9,9,9
"149","0","4","5","149","congruent","red",1,405,-10,10,9
"150","0","4","6","150","congruent","red",1,567,-3,3,8
"151","0","4","7","151","congruent","green",0,471,1,1,11
"152","0","4","8","152","incongruent","red",1,732,-6,6,11
"153","0","4","9","153","incongruent","red",1,426,6,6,8
"154","0","4","10","154","congruent","red",1,553,-4,4,6
"155","0","4","11","155","congruent","blue",1,837,9,9,6
"156","0","4","12","156","congruent","green",1,708,-60,60,6
"157","0","4","13","157","incongruent","red",1,707,6,6,8
"158","0","4","14","158","incongruent","blue",1,588,39,39,9
"159","0","4","15","159","incongruent","green",1,462,32,32,9
