"","SubjIdx","BlockIndex","BlockTrial","TrialIndex","Condition","Cue","Correct","Rt","Error","AbsError","UncertaintyImage"
"86","0","2","38","86","incongruent","restaurant",1,879,-3,3,11
"87","0","2","39","87","congruent","restaurant",1,1281,-11,11,11
"88","0","2","40","88","incongruent","bedroom",1,714,-5,5,6
"89","0","2","41","89","incongruent","dinningroom",0,995,14,14,11
"90","0","2","42","90","congruent","restaurant",0,820,5,5,13
"91","0","2","43","91","incongruent","dinningroom",1,944,-17,17,13
"92","0","2","44","92","incongruent","bedroom",1,1176,-5,5,11
"93","0","2","45","93","incongruent","restaurant",1,1119,-18,18,18
"94","0","2","46","94","incongruent","dinningroom",1,1084,-24,24,13
"95","0","2","47","95","incongruent","restaurant",1,1259,29,29,13
"96","0","2","48","96","incongruent","bedroom",1,886,-2,2,11
"97","0","3","1","97","incongruent","bedroom",0,NA,-6,6,13
"98","0","3","2","98","incongruent","bedroom",1,1593,-80,80,17
"99","0","3","3","99","incongruent","bedroom",1,1020,-32,32,13
"100","0","3","4","100","congruent","bedroom",1,637,-10,10,13
"101","0","3","5","101","incongruent","restaurant",1,820,6,6,11
"102","0","3","6","102","incongruent","dinningroom",1,956,1,1,NA
"103","0","3","7","103","congruent","bedroom",0,1235,0,0,15
"104","0","3","8","104","incongruent","dinningroom",1,760,6,6,11
"105","0","3","9","105","congruent","dinningroom",1,623,3,3,11
"106","0","3","10","106","incongruent","restaurant",1,877,4,4,9
"107","0","3","11","107","incongruent","dinningroom",1,754,-6,6,NA
"108","0","3","12","108","congruent","restaurant",1,1264,-15,15,11
"109","0","3","13","109","incongruent","bedroom",1,1820,-8,8,20
"110","0","3","14","110","congruent","restaurant",1,1236,7,7,13
"111","0","3","15","111","congruent","bedroom",1,610,-1,1,13
"112","0","3","16","112","congruent","restaurant",1,1062,7,7,20
"113","0","3","17","113","congruent","restaurant",1,1147,10,10,13
"114","0","3","18","114","congruent","restaurant",1,929,-7,7,19
"115","0","3","19","115","incongruent","dinningroom",1,1115,3,3,13
"116","0","3","20","116","incongruent","dinningroom",1,848,11,11,9
"117","0","3","21","117","incongruent","restaurant",1,1326,22,22,20
"118","0","3","22","118","congruent","bedroom",1,534,-11,11,17
"119","0","3","23","119","congruent","restaurant",1,963,0,0,13
"120","0","3","24","120","congruent","dinningroom",1,528,-5,5,19
"121","0","3","25","121","incongruent","restaurant",1,1161,0,0,17
"122","0","3","26","122","incongruent","restaurant",0,1320,53,53,18
"123","0","3","27","123","congruent","dinningroom",1,977,6,6,NA
"124","0","3","28","124","incongruent","restaurant",1,1479,22,22,23
"125","0","3","29","125","incongruent","dinningroom",1,750,7,7,20
"126","0","3","30","126","congruent","dinningroom",1,1030,26,26,19
"127","0","3","31","127","incongruent","dinningroom",0,1142,-1,1,19
"128","0","3","32","128","congruent","restaurant",0,907,0,0,15
"129","0","3","33","129","incongruent","dinningroom",1,948,1,1,13
"130","0","3","34","130","incongruent","dinningroom",0,1578,-10,10,13
"131","0","3","35","131","incongruent","dinningroom",1,970,0,0,18
